step,accumulated_step,loss,perplexity,ttt_step_time,score_seq_time,eval_step_time,lr,fgr_ratio,fgr_loss_delta,fgr_drift_delta,fgr_ratio_cumulative,fgr_drift,_fgr_cumulative_loss_gain,fgr_ema_ratio,avg_spearman,fitness_eval_time,dms_id,seq_len,num_mutations,total_time
10,40,0.3140146732330322,3.08621883392334,1.294508695602417,7.792331695556641,7.813145637512207,4e-05,,-0.0013968944549560547,0.0,-18491.0,7.152557373046875e-07,-0.013225793838500977,16518.777994791668,0.028550747745718728,7.776932239532471,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
11,44,0.2978841960430145,3.084815740585327,1.293274164199829,7.787042140960693,7.8187477588653564,4e-05,-23540.0,-0.0014030933380126953,5.960464477539063e-08,-18879.384615384617,7.748603820800781e-07,-0.014628887176513672,17063.743689903848,0.028378648565973236,7.782588243484497,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
12,48,0.3207211494445801,3.0834012031555176,1.2933390140533447,7.793300151824951,7.81608772277832,4e-05,-7910.666666666667,-0.0014145374298095703,1.7881393432617188e-07,-16822.75,9.5367431640625e-07,-0.016043424606323242,15343.520874023438,0.02841154987974811,7.77996563911438,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
13,52,0.3094727694988251,3.081996440887451,1.2931787967681885,7.794047594070435,7.8212199211120605,4e-05,-11784.0,-0.0014047622680664062,1.1920928955078125e-07,-16262.888888888889,1.0728836059570312e-06,-0.01744818687438965,14950.787055121527,0.02841154987974811,7.78499174118042,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
14,56,0.30542847514152527,3.0806069374084473,1.2934870719909668,7.794830560684204,7.80816912651062,4e-05,-5828.0,-0.0013895034790039062,2.384185791015625e-07,-14365.636363636364,1.3113021850585938e-06,-0.018837690353393555,13299.049249822443,0.02757383181363403,7.772012948989868,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
15,60,0.32554706931114197,3.079030990600586,1.293006181716919,7.782384395599365,7.8210320472717285,4e-05,-6610.0,-0.0015759468078613281,2.384185791015625e-07,-13172.461538461539,1.5497207641601562e-06,-0.020413637161254883,12212.751605694111,0.027285312600531297,7.784899950027466,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
16,64,0.3017095923423767,3.0776524543762207,1.2933883666992188,7.793686866760254,7.808784246444702,4e-05,-11564.0,-0.0013785362243652344,1.1920928955078125e-07,-15233.833333333334,1.430511474609375e-06,-0.021792173385620117,14232.157119750977,0.027039818182364943,7.772566556930542,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
17,68,0.29954439401626587,3.076197385787964,1.293525218963623,7.790154457092285,7.81870698928833,4e-05,-3487.4285714285716,-0.001455068588256836,4.172325134277344e-07,-12581.41935483871,1.8477439880371094e-06,-0.023247241973876953,11799.9317882907,0.026865188132329073,7.782454013824463,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
18,72,0.3343592584133148,3.074855089187622,1.2956855297088623,7.797449350357056,7.82135534286499,4e-05,-5630.0,-0.0013422966003417969,2.384185791015625e-07,-11786.971428571429,2.086162567138672e-06,-0.02458953857421875,11119.16979195731,0.02678926202361783,7.78511905670166,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
19,76,0.2984611988067627,3.073500633239746,1.295846700668335,7.7973878383636475,7.82146692276001,4e-05,-22724.0,-0.0013544559478759766,5.960464477539063e-08,-12090.777777777777,2.1457672119140625e-06,-0.025943994522094727,11450.54087109036,0.026923398149007696,7.785228490829468,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
20,80,0.3135300278663635,3.0721118450164795,1.2947413921356201,7.797352075576782,7.821087121963501,4e-05,-3883.3333333333335,-0.0013887882232666016,3.5762786865234375e-07,-10918.285714285714,2.5033950805664062e-06,-0.027332782745361328,10366.517516181582,0.026971484684524823,7.784860849380493,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
21,84,0.2968907952308655,3.070753574371338,1.295666217803955,7.79740309715271,7.820829153060913,4e-05,-3798.0,-0.0013582706451416016,3.5762786865234375e-07,-10028.25,2.86102294921875e-06,-0.02869105339050293,9549.476413329443,0.026738644617810337,7.784622430801392,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
22,88,0.31551629304885864,3.0692756175994873,1.29361891746521,7.795528411865234,7.821579694747925,4e-05,-24796.0,-0.001477956771850586,5.960464477539063e-08,-10329.632653061224,2.9206275939941406e-06,-0.030169010162353516,9842.110896324624,0.026475434107611346,7.785382509231567,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
23,92,0.3310490846633911,3.0678319931030273,1.2957172393798828,7.797452688217163,7.821306467056274,4e-05,-4844.0,-0.001443624496459961,2.980232238769531e-07,-9821.703703703704,3.2186508178710938e-06,-0.03161263465881348,9376.254017776913,0.026475434107611346,7.785097360610962,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
24,96,0.304115891456604,3.066518545150757,1.2954623699188232,7.797835350036621,7.821993350982666,4e-05,-7345.333333333333,-0.0013134479522705078,1.7881393432617188e-07,-9691.368421052632,3.3974647521972656e-06,-0.032926082611083984,9287.06769263117,0.02655389108661297,7.785770416259766,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
25,100,0.32475745677948,3.064927339553833,1.2937023639678955,7.797201871871948,7.8206467628479,4e-05,-3337.0,-0.0015912055969238281,4.76837158203125e-07,-8909.292307692307,3.874301910400391e-06,-0.03451728820800781,8526.668142153667,0.02671080504461621,7.784436225891113,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
26,104,0.29877182841300964,3.0635440349578857,1.2936697006225586,7.797174453735352,7.821792364120483,4e-05,-3868.0,-0.0013833045959472656,3.5762786865234375e-07,-8483.267605633802,4.231929779052734e-06,-0.03590059280395508,8144.686121408368,0.027011978609170817,7.785580158233643,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
27,108,0.3256559371948242,3.0621871948242188,1.2954401969909668,7.797255277633667,7.820706367492676,4e-05,,-0.0013568401336669922,0.0,-8803.887323943662,4.231929779052734e-06,-0.03725743293762207,8474.286722676015,0.026571607178645595,7.784487009048462,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
28,112,0.30695363879203796,3.0608816146850586,1.2954044342041016,7.796910047531128,7.821923017501831,4e-05,-3650.6666666666665,-0.0013055801391601562,3.5762786865234375e-07,-8402.337662337663,4.589557647705078e-06,-0.03856301307678223,8108.145177337643,0.026070494861151376,7.785696029663086,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
29,116,0.2908961772918701,3.059516191482544,1.2935945987701416,7.791090488433838,7.818577289581299,4e-05,-4581.6,-0.0013654232025146484,2.980232238769531e-07,-8169.365853658536,4.887580871582031e-06,-0.039928436279296875,7891.555967408528,0.025855370886469508,7.782456636428833,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
30,120,0.30188003182411194,3.058213710784912,1.2935783863067627,7.795405864715576,7.821486949920654,4e-05,-2185.2,-0.001302480697631836,5.960464477539062e-07,-7518.913043478261,5.4836273193359375e-06,-0.04123091697692871,7276.345594171192,0.02592117351401926,7.785365581512451,HIS7_YEAST_Pokusaeva_2019,220,168,524.2039272785187
