step,accumulated_step,loss,perplexity,ttt_step_time,score_seq_time,eval_step_time,lr,fgr_ratio,fgr_loss_delta,fgr_drift_delta,fgr_ratio_cumulative,fgr_drift,_fgr_cumulative_loss_gain,fgr_ema_ratio,plddt,tm_score,lddt
0,0,,,2.384185791015625e-07,0.0,7.706735372543335,0.0004,,,,,0.0,,,72.30360412597656,,
1,4,2.595703125,,0.8891656398773193,0.0,6.479205846786499,0.0004,,,0.0,,0.0,0.0,,71.76103973388672,,
2,8,2.51953125,,0.8659591674804688,0.0,6.475298881530762,0.0004,,,0.0,,0.0,0.0,,72.11080169677734,,
3,12,2.55859375,,0.866234540939331,0.0,6.475909948348999,0.0004,,,0.0009765625,,0.0009765625,0.0,,73.38050842285156,,
4,16,2.380859375,,0.8673272132873535,0.0,6.475529909133911,0.0004,,,0.00048828125,,0.00146484375,0.0,,73.52638244628906,,
5,20,2.314453125,,0.8658173084259033,0.0,6.475818634033203,0.0004,,,0.00244140625,,0.00390625,0.0,,72.86001586914062,,
6,24,2.2734375,,0.8658740520477295,0.0,6.476702451705933,0.0004,,,0.00244140625,,0.00634765625,0.0,,70.4577407836914,,
7,28,2.04296875,,0.8665242195129395,0.0,6.474618434906006,0.0004,,,0.00341796875,,0.009765625,0.0,,74.4884033203125,,
8,32,1.8642578125,,0.9476182460784912,0.0,6.475451946258545,0.0004,,,0.00390625,,0.013671875,0.0,,69.23304748535156,,
9,36,1.6328125,,0.8669850826263428,0.0,6.474912166595459,0.0004,,,0.00830078125,,0.02197265625,0.0,,65.84059143066406,,
10,40,1.2666015625,,0.8675065040588379,0.0,6.47418475151062,0.0004,,,0.01513671875,,0.037109375,0.0,,63.999813079833984,,
11,44,1.142578125,,0.8670215606689453,0.0,6.474703788757324,0.0004,,,0.00146484375,,0.03564453125,0.0,,65.17205810546875,,
12,48,1.078125,,0.8672468662261963,0.0,6.4750518798828125,0.0004,,,0.02197265625,,0.0576171875,0.0,,63.587711334228516,,
13,52,0.6572265625,,0.8670828342437744,0.0,6.474599838256836,0.0004,,,0.00244140625,,0.05517578125,0.0,,61.86310958862305,,
14,56,0.58251953125,,0.8672871589660645,0.0,6.475573539733887,0.0004,,,0.02783203125,,0.0830078125,0.0,,62.802406311035156,,
15,60,0.6533203125,,0.8670287132263184,0.0,6.4746270179748535,0.0004,,,0.0244140625,,0.05859375,0.0,,64.35582733154297,,
16,64,0.74365234375,,0.8669719696044922,0.0,6.474142789840698,0.0004,,,0.01513671875,,0.07373046875,0.0,,59.181495666503906,,
17,68,0.55712890625,,0.8670821189880371,0.0,6.47446608543396,0.0004,,,0.013671875,,0.08740234375,0.0,,70.74860382080078,,
18,72,0.462646484375,,0.8669536113739014,0.0,6.474330186843872,0.0004,,,0.03955078125,,0.126953125,0.0,,62.189369201660156,,
19,76,0.17041015625,,0.8671417236328125,0.0,6.474648475646973,0.0004,,,0.0087890625,,0.1181640625,0.0,,61.73777389526367,,
20,80,0.1859130859375,,0.8670990467071533,0.0,6.475143671035767,0.0004,,,0.00048828125,,0.11865234375,0.0,,63.07161331176758,,
21,84,0.0806884765625,,0.8667876720428467,0.0,6.473541736602783,0.0004,,,0.01611328125,,0.134765625,0.0,,64.15489959716797,,
22,88,0.1021728515625,,0.8666877746582031,0.0,6.474502325057983,0.0004,,,0.00830078125,,0.12646484375,0.0,,63.22786331176758,,
23,92,0.079345703125,,0.8668727874755859,0.0,6.474120616912842,0.0004,,,0.01513671875,,0.1416015625,0.0,,62.682010650634766,,
24,96,0.07855224609375,,0.8666913509368896,0.0,6.473410606384277,0.0004,,,0.00146484375,,0.14013671875,0.0,,61.60440444946289,,
25,100,0.01995849609375,,0.8669300079345703,0.0,6.473188877105713,0.0004,,,0.00830078125,,0.1484375,0.0,,63.06201934814453,,
26,104,0.01470947265625,,0.8669354915618896,0.0,6.4735822677612305,0.0004,,,0.0009765625,,0.1474609375,0.0,,62.223426818847656,,
27,108,0.028411865234375,,0.8666024208068848,0.0,6.473914623260498,0.0004,,,0.001953125,,0.1494140625,0.0,,62.33484649658203,,
28,112,0.01348114013671875,,0.8669147491455078,0.0,6.474363327026367,0.0004,,,0.00732421875,,0.14208984375,0.0,,63.37612533569336,,
29,116,0.0303955078125,,0.8665838241577148,0.0,6.474010944366455,0.0004,,,0.00390625,,0.14599609375,0.0,,62.71843719482422,,
30,120,0.007537841796875,,0.8664343357086182,0.0,6.472927093505859,0.0004,,,0.00048828125,,0.1455078125,0.0,,62.27248001098633,,
